user_id,product_id,timestamp,session_id,interaction_type,device_type,location,price,discount,product_category,brand,user_age,user_gender,loyalty_score,previous_purchase_count,avg_purchase_value,search_keywords,rating,purchase
U0242,P1254,2024-11-24 23:19:00,S7607,view,mobile,Miami,51.14,25,Apparel,Nike,18,Female,75,13,87.79,blender,,0
U2042,P1805,2024-03-31 21:30:00,S5343,view,mobile,Houston,431.67,15,Apparel,Adidas,29,Male,59,2,75.02,wireless earphones,,0
U2825,P1867,2024-07-15 08:49:00,S0076,click,desktop,Chicago,487.95,20,Home,Apple,24,Female,21,11,214.17,basketball,,0
U2613,P1611,2024-01-24 23:51:00,S1063,click,mobile,Houston,211.81,0,Beauty,Adidas,63,Female,42,8,151.34,basketball,4.0,0
U1364,P0336,2024-05-27 01:12:00,S5207,view,desktop,Miami,285.32,0,Sports,Apple,48,Male,63,39,295.55,wireless earphones,2.0,0
U1479,P0757,2024-03-01 07:59:00,S9957,add_to_cart,mobile,Miami,358.25,10,Beauty,Samsung,30,Male,26,22,146.15,blender,2.0,0
U2557,P1424,2024-07-21 14:13:00,S9786,click,mobile,Chicago,116.66,0,Beauty,Puma,25,Female,53,49,283.19,running shoes,,0
U0776,P0795,2024-09-17 22:14:00,S9635,view,desktop,Miami,74.38,10,Home,Apple,59,Male,21,4,158.33,smartphone,2.0,0
U4015,P1670,2024-08-31 17:00:00,S1709,click,mobile,Los Angeles,236.71,25,Electronics,Adidas,51,Male,39,44,204.42,laptop,4.0,0
U0035,P0587,2024-08-02 22:02:00,S5960,click,desktop,Chicago,63.12,15,Sports,Sony,18,Female,67,25,130.64,laptop,3.0,0
U3153,P1674,2024-12-19 04:26:00,S1186,view,tablet,Miami,128.01,20,Apparel,Nike,31,Male,20,43,282.49,sofa,2.0,0
U1956,P0291,2024-05-27 22:23:00,S5439,click,mobile,Miami,312.85,15,Apparel,Sony,34,Male,72,8,61.67,smartphone,4.0,0
U1586,P1649,2024-07-20 16:31:00,S4313,view,mobile,New York,39.86,25,Electronics,Samsung,38,Male,40,29,201.23,blender,,0
U3944,P1434,2024-04-29 04:02:00,S7804,click,tablet,Los Angeles,411.03,0,Home,Adidas,19,Female,7,41,68.89,basketball,,0
U3074,P1688,2024-11-12 05:46:00,S2616,view,desktop,Houston,175.94,15,Sports,LG,26,Male,26,21,152.5,blender,4.0,0
U1022,P0892,2024-03-28 15:52:00,S1572,add_to_cart,mobile,Houston,405.64,30,Sports,LG,22,Male,92,36,296.72,sofa,2.0,0
U3462,P0695,2024-02-22 03:27:00,S6857,click,mobile,Miami,435.08,5,Apparel,Nike,59,Other,23,9,122.25,laptop,4.0,0
U2614,P0563,2024-06-06 15:46:00,S7335,click,desktop,Chicago,307.2,20,Apparel,Nike,21,Male,40,27,247.7,smartphone,3.0,0
U3844,P0957,2024-05-03 15:17:00,S2898,add_to_cart,mobile,New York,486.25,5,Beauty,Puma,57,Female,36,12,129.26,laptop,4.0,0
U1501,P0138,2024-02-02 16:24:00,S4905,purchase,desktop,New York,456.29,30,Home,Puma,52,Male,39,22,288.43,sofa,,1
U4799,P1456,2024-07-28 12:37:00,S3361,view,mobile,Houston,475.32,20,Beauty,Puma,63,Male,25,9,200.57,makeup kit,,0
U0162,P1815,2024-04-23 15:31:00,S6534,click,mobile,Los Angeles,154.63,20,Sports,Sony,59,Male,31,28,126.69,makeup kit,1.0,0
U4298,P0348,2024-05-07 11:18:00,S2334,purchase,desktop,Miami,421.95,20,Home,Apple,24,Female,73,37,38.25,laptop,3.0,1
U1982,P1323,2024-04-01 09:35:00,S1232,view,desktop,Los Angeles,180.12,30,Home,LG,49,Female,12,34,91.3,laptop,,0
U0996,P0228,2024-07-11 14:13:00,S1565,view,mobile,Houston,46.9,15,Beauty,Adidas,32,Female,70,19,243.93,makeup kit,2.0,0
U4912,P0935,2024-05-14 23:10:00,S9266,click,mobile,New York,290.9,5,Apparel,Apple,29,Female,9,36,31.67,smartphone,2.0,0
U3343,P0521,2024-05-10 23:31:00,S2231,view,mobile,Los Angeles,137.23,20,Beauty,Samsung,54,Female,100,14,199.87,basketball,,0
U4552,P0722,2024-09-12 15:04:00,S9366,view,tablet,Los Angeles,140.71,25,Electronics,Adidas,41,Female,76,23,113.82,makeup kit,,0
U3799,P0337,2024-12-03 04:01:00,S8259,view,mobile,Miami,139.72,30,Apparel,Sony,39,Male,97,43,246.11,laptop,,0
U1276,P0794,2024-06-18 22:00:00,S6484,view,mobile,New York,212.88,15,Beauty,Sony,25,Female,83,1,238.57,laptop,4.0,0
U1017,P1117,2024-02-01 07:32:00,S8332,view,desktop,Los Angeles,69.41,0,Beauty,LG,34,Female,65,27,287.56,sofa,,0
U0338,P0534,2024-05-26 09:50:00,S9004,add_to_cart,mobile,Chicago,348.18,30,Home,Puma,35,Male,14,7,150.98,makeup kit,3.0,0
U0879,P1924,2024-03-15 06:51:00,S7259,click,mobile,Los Angeles,491.31,20,Electronics,LG,43,Male,72,32,282.29,basketball,4.0,0
U1077,P1004,2024-04-30 11:20:00,S8948,view,tablet,Houston,440.48,5,Beauty,LG,52,Female,97,48,152.58,sofa,2.0,0
U4888,P1708,2024-12-27 12:39:00,S4927,click,desktop,Chicago,276.11,5,Beauty,LG,45,Female,83,18,73.62,makeup kit,,0
U3994,P1583,2024-06-08 06:07:00,S2425,view,tablet,Miami,77.42,10,Apparel,Apple,57,Female,21,19,210.5,wireless earphones,,0
U4860,P1425,2024-04-30 07:50:00,S1238,view,mobile,New York,9.12,15,Beauty,Sony,34,Female,95,44,34.95,blender,,0
U0380,P0531,2024-09-21 04:58:00,S1728,click,tablet,Miami,430.82,20,Electronics,Nike,45,Female,69,33,216.24,blender,,0
U0493,P1571,2024-03-07 05:29:00,S8451,add_to_cart,mobile,Houston,302.5,0,Apparel,LG,37,Female,9,9,290.88,makeup kit,,0
U2063,P0409,2024-08-04 23:17:00,S8310,click,mobile,Miami,95.99,20,Electronics,Apple,28,Female,97,3,174.7,basketball,,0
U3885,P0453,2024-07-07 17:25:00,S5644,view,tablet,Chicago,439.61,5,Beauty,Samsung,37,Other,10,33,60.4,sofa,,0
U0065,P0062,2024-05-23 01:42:00,S1162,view,desktop,Chicago,257.96,20,Sports,Apple,43,Male,31,6,204.6,blender,4.0,0
U2569,P0195,2024-11-24 09:22:00,S1252,click,mobile,Houston,276.46,25,Home,Samsung,24,Female,72,27,212.93,makeup kit,,0
U2028,P1325,2024-10-30 18:14:00,S5732,click,mobile,Los Angeles,117.13,30,Electronics,Puma,46,Male,36,44,197.85,smartphone,,0
U2696,P1492,2024-11-15 15:41:00,S1464,view,desktop,Los Angeles,363.19,15,Sports,Sony,59,Male,54,30,10.65,laptop,2.0,0
U1496,P1297,2024-07-01 21:18:00,S9206,view,tablet,Miami,180.3,10,Beauty,Apple,27,Female,73,40,208.84,basketball,3.0,0
U0392,P0044,2024-01-05 07:50:00,S6329,view,mobile,Los Angeles,407.82,25,Sports,Apple,63,Female,96,49,109.28,makeup kit,,0
U4515,P0988,2024-05-12 22:42:00,S5461,view,mobile,Los Angeles,402.07,5,Apparel,Nike,48,Male,79,44,151.24,smartphone,3.0,0
U4475,P1493,2024-02-05 17:09:00,S4831,click,desktop,Houston,82.08,5,Sports,Puma,64,Male,68,0,186.62,blender,2.0,0
U3562,P1104,2024-10-20 17:25:00,S2255,view,tablet,Los Angeles,256.3,0,Apparel,LG,64,Female,29,7,155.11,wireless earphones,,0
U2279,P0448,2024-06-04 10:49:00,S0115,click,mobile,Miami,459.96,30,Apparel,Samsung,49,Male,29,21,199.37,basketball,3.0,0
U3100,P0065,2024-12-28 16:12:00,S0605,add_to_cart,mobile,Houston,166.23,0,Home,Sony,48,Female,22,42,257.58,laptop,2.0,0
U0201,P1513,2024-03-21 18:18:00,S1339,view,desktop,New York,211.05,5,Electronics,Nike,22,Male,58,47,282.53,laptop,3.0,0
U4876,P0584,2024-03-24 02:47:00,S8423,click,tablet,Chicago,132.96,20,Apparel,LG,25,Male,35,41,230.9,laptop,4.0,0
U3105,P1514,2024-08-20 13:49:00,S8474,view,desktop,Chicago,471.38,15,Beauty,Nike,54,Male,33,40,64.9,wireless earphones,,0
U4599,P0656,2024-06-29 00:16:00,S3077,view,desktop,Miami,469.92,15,Home,LG,53,Female,27,40,180.09,wireless earphones,3.0,0
U2455,P0406,2024-01-05 03:38:00,S0857,click,desktop,Houston,255.6,20,Apparel,Nike,36,Female,65,2,262.16,blender,3.0,0
U3646,P1280,2024-10-18 11:51:00,S7699,view,desktop,Chicago,292.91,15,Beauty,Apple,39,Male,59,9,296.43,makeup kit,,0
U0805,P0491,2024-11-19 10:35:00,S2697,view,mobile,Miami,114.88,15,Beauty,Samsung,53,Female,0,12,93.49,wireless earphones,3.0,0
U2732,P1692,2024-09-06 23:29:00,S7336,purchase,desktop,Los Angeles,6.62,10,Electronics,Adidas,45,Female,19,8,192.59,sofa,,1
U2774,P1499,2024-11-20 15:33:00,S0314,view,mobile,New York,493.42,15,Beauty,Apple,31,Female,97,35,137.42,smartphone,2.0,0
U1571,P0965,2024-03-09 10:52:00,S6468,click,mobile,Chicago,311.94,15,Beauty,Sony,34,Female,31,13,17.18,smartphone,4.0,0
U2691,P1440,2024-12-10 14:24:00,S4952,view,mobile,Miami,404.71,20,Beauty,Apple,18,Female,77,16,55.82,makeup kit,5.0,0
U3841,P0697,2024-03-09 15:38:00,S3861,click,desktop,Miami,276.54,30,Beauty,Samsung,45,Other,92,12,149.28,makeup kit,,0
U1029,P1932,2024-05-05 12:47:00,S8475,view,desktop,New York,462.37,15,Sports,Sony,34,Male,31,16,289.59,running shoes,,0
U0503,P0283,2024-02-08 05:36:00,S9219,click,mobile,Miami,328.89,30,Electronics,LG,20,Male,5,18,170.14,basketball,4.0,0
U4494,P1072,2024-02-16 18:09:00,S6645,view,desktop,Miami,273.13,30,Beauty,Puma,51,Female,99,21,282.86,wireless earphones,3.0,0
U0871,P0531,2024-01-30 12:51:00,S3278,view,desktop,Houston,216.16,15,Sports,Nike,26,Male,83,28,147.16,blender,1.0,0
U4489,P1966,2024-12-16 09:43:00,S3844,add_to_cart,mobile,Miami,456.05,15,Apparel,Apple,32,Female,58,38,84.1,laptop,,0
U0207,P0853,2024-11-28 22:44:00,S3118,view,mobile,New York,32.61,15,Sports,Apple,27,Female,70,3,114.86,blender,,0
U1485,P0685,2024-12-29 21:43:00,S6975,click,desktop,Houston,168.98,15,Sports,Nike,32,Female,1,43,113.21,laptop,,0
U0864,P0088,2024-09-11 10:10:00,S2310,add_to_cart,desktop,Chicago,169.45,0,Electronics,Sony,59,Female,13,44,98.41,running shoes,4.0,0
U2791,P0556,2024-07-25 09:44:00,S4016,add_to_cart,mobile,Chicago,442.54,25,Beauty,Puma,37,Male,47,32,133.87,smartphone,3.0,0
U0564,P1156,2024-02-20 07:22:00,S5475,view,tablet,Miami,119.34,20,Sports,Adidas,23,Male,49,45,209.43,makeup kit,,0
U4192,P0642,2024-11-01 00:06:00,S7160,view,tablet,Chicago,158.63,15,Home,Nike,60,Male,73,6,145.74,sofa,4.0,0
U1758,P1241,2024-08-26 18:33:00,S2532,view,mobile,Chicago,285.57,30,Apparel,Puma,51,Female,21,45,299.08,makeup kit,,0
U1679,P0018,2024-01-10 05:52:00,S6762,add_to_cart,mobile,Miami,221.77,10,Sports,Samsung,46,Male,22,35,216.09,wireless earphones,3.0,0
U3243,P0282,2024-03-24 16:40:00,S7114,view,mobile,Chicago,29.91,20,Beauty,Sony,19,Female,97,38,21.76,running shoes,,0
U4637,P0611,2024-06-20 23:52:00,S4680,view,mobile,Los Angeles,66.75,0,Home,Puma,47,Male,91,27,238.29,makeup kit,5.0,0
U1060,P1899,2024-09-17 00:39:00,S9510,view,desktop,New York,151.75,30,Sports,Puma,29,Female,0,43,234.18,makeup kit,4.0,0
U1723,P1988,2024-02-19 07:58:00,S5060,view,mobile,Los Angeles,383.77,30,Apparel,Nike,52,Female,19,20,279.43,blender,3.0,0
U3315,P0819,2024-04-04 17:31:00,S2971,view,mobile,Miami,350.58,10,Electronics,Samsung,27,Female,49,39,248.97,basketball,,0
U3158,P0899,2024-08-13 08:11:00,S6575,add_to_cart,mobile,Miami,176.41,0,Apparel,Apple,50,Female,64,20,158.91,sofa,,0
U2626,P0478,2024-02-19 17:41:00,S1053,view,mobile,Miami,459.11,20,Home,Apple,47,Male,77,37,94.45,sofa,4.0,0
U2730,P0007,2024-06-22 01:26:00,S4601,view,mobile,Houston,441.84,0,Apparel,Apple,62,Male,47,43,76.79,blender,,0
U1598,P0817,2024-06-01 23:02:00,S3302,add_to_cart,mobile,Houston,91.08,5,Beauty,Adidas,53,Female,13,2,200.39,laptop,,0
U3061,P1835,2024-05-17 09:11:00,S5660,click,desktop,Houston,38.39,25,Sports,Nike,64,Female,40,46,111.06,makeup kit,2.0,0
U2694,P1229,2024-03-30 13:41:00,S5925,view,mobile,Chicago,277.66,20,Sports,Puma,38,Male,79,4,30.03,basketball,3.0,0
U4892,P0984,2024-04-17 00:21:00,S9164,click,mobile,Houston,46.02,25,Sports,Samsung,52,Female,43,31,286.84,wireless earphones,,0
U3628,P1028,2024-10-21 16:05:00,S7680,add_to_cart,tablet,Houston,326.45,5,Electronics,LG,40,Male,66,40,203.25,blender,2.0,0
U1364,P1481,2024-02-18 09:31:00,S0762,view,mobile,Los Angeles,425.57,25,Apparel,Nike,34,Male,80,42,67.71,wireless earphones,3.0,0
U1982,P0502,2024-08-21 13:29:00,S9404,view,mobile,Los Angeles,159.53,20,Home,Puma,33,Female,63,11,31.41,smartphone,2.0,0
U1664,P0530,2024-06-18 21:18:00,S5101,add_to_cart,mobile,Miami,327.85,0,Apparel,Samsung,48,Female,70,47,46.29,wireless earphones,1.0,0
U1530,P1943,2024-02-03 06:02:00,S8980,view,mobile,New York,255.3,10,Home,Adidas,52,Female,15,0,204.12,laptop,5.0,0
U2039,P1631,2024-03-05 13:40:00,S1796,view,mobile,Chicago,25.99,25,Home,Samsung,30,Female,15,28,64.01,makeup kit,4.0,0
U3303,P1693,2024-03-01 12:09:00,S1417,view,mobile,Los Angeles,373.04,10,Apparel,Adidas,20,Female,78,20,248.08,smartphone,,0
U2238,P1111,2024-09-16 17:08:00,S1232,view,desktop,New York,416.82,20,Electronics,Puma,25,Male,73,20,102.16,blender,4.0,0
U1307,P0765,2024-07-16 12:29:00,S1495,click,mobile,Houston,407.44,15,Sports,Sony,52,Female,13,35,212.24,laptop,2.0,0
U4030,P0706,2024-12-24 05:53:00,S7652,click,mobile,Chicago,54.58,25,Home,LG,52,Male,83,3,46.24,running shoes,,0
U2676,P1573,2024-07-30 23:49:00,S3090,purchase,mobile,New York,367.84,20,Apparel,LG,41,Female,65,28,43.89,wireless earphones,,1
U1283,P0083,2024-01-02 20:55:00,S0670,click,mobile,Houston,15.21,30,Electronics,Samsung,60,Male,49,40,267.1,basketball,1.0,0
U0710,P1660,2024-04-04 02:46:00,S9620,click,mobile,New York,412.89,10,Beauty,Adidas,47,Male,19,29,106.14,sofa,2.0,0
U4745,P0405,2024-04-08 16:33:00,S7118,view,mobile,Chicago,462.36,10,Home,LG,58,Female,17,15,293.83,makeup kit,2.0,0
U4414,P0753,2024-05-30 17:19:00,S1436,add_to_cart,mobile,Miami,162.63,20,Beauty,Apple,56,Male,72,35,25.26,wireless earphones,,0
U3749,P1119,2024-04-10 20:02:00,S4998,view,desktop,Miami,283.08,0,Sports,Adidas,18,Male,22,16,165.63,laptop,,0
U4780,P1126,2024-12-02 16:57:00,S1175,view,mobile,Miami,431.47,5,Sports,Samsung,24,Female,6,16,292.14,makeup kit,,0
U0664,P0742,2024-08-16 06:51:00,S4168,view,mobile,New York,390.85,25,Home,Apple,38,Male,22,11,135.61,sofa,,0
U1999,P0067,2024-01-23 10:29:00,S8727,click,tablet,Chicago,465.06,20,Electronics,Nike,53,Male,74,7,154.43,smartphone,3.0,0
U3446,P0687,2024-11-15 03:46:00,S5675,click,mobile,New York,137.9,5,Beauty,Nike,53,Female,68,26,267.96,wireless earphones,2.0,0
U3744,P1939,2024-05-21 07:44:00,S3384,click,mobile,Chicago,467.15,0,Home,Puma,58,Male,35,18,276.64,wireless earphones,,0
U1496,P1075,2024-07-16 06:25:00,S9575,view,desktop,New York,134.94,5,Home,Sony,63,Female,30,14,54.3,running shoes,3.0,0
U3305,P0397,2024-04-30 14:50:00,S8140,view,mobile,Houston,80.9,20,Home,Samsung,63,Female,54,6,140.7,blender,,0
U3764,P1482,2024-12-25 17:13:00,S4896,add_to_cart,mobile,Miami,420.64,0,Electronics,Sony,47,Female,91,45,67.41,basketball,,0
U1854,P0345,2024-10-10 21:32:00,S0771,purchase,desktop,Miami,354.9,20,Beauty,Sony,45,Male,100,44,175.86,basketball,3.0,1
U4660,P0401,2024-06-20 02:00:00,S5907,click,mobile,Miami,99.18,25,Electronics,Apple,62,Male,28,3,132.77,makeup kit,3.0,0
U1292,P1211,2024-08-12 10:21:00,S7439,view,desktop,New York,216.04,10,Home,Apple,23,Male,80,16,30.07,basketball,3.0,0
U3582,P1547,2024-08-28 04:40:00,S3918,click,mobile,Houston,190.05,5,Beauty,Adidas,63,Female,55,46,292.2,laptop,3.0,0
U3458,P1285,2024-04-02 13:02:00,S4203,view,mobile,Chicago,401.56,25,Sports,Puma,50,Female,58,9,18.7,blender,,0
U1637,P1689,2024-08-29 12:50:00,S1436,view,desktop,New York,356.98,15,Electronics,Puma,25,Male,66,39,100.22,wireless earphones,5.0,0
U3697,P1999,2024-11-28 19:11:00,S9456,view,mobile,Miami,241.55,20,Sports,Apple,25,Female,97,10,252.92,blender,4.0,0
U3000,P1968,2024-05-23 03:20:00,S9683,view,desktop,Houston,266.39,15,Home,Sony,61,Male,14,49,83.63,laptop,,0
U3153,P1020,2024-10-27 01:50:00,S3217,click,desktop,Houston,460.63,5,Sports,Adidas,43,Male,94,1,158.16,running shoes,3.0,0
U0699,P1162,2024-12-22 09:13:00,S3456,purchase,mobile,Miami,321.73,5,Apparel,Samsung,43,Female,79,12,112.33,blender,,1
U2161,P0217,2024-07-07 06:17:00,S3668,purchase,mobile,Miami,250.39,15,Electronics,Samsung,36,Male,30,13,182.85,makeup kit,,1
U4098,P0522,2024-05-13 00:06:00,S8566,click,mobile,Miami,285.44,10,Apparel,Samsung,44,Male,89,19,73.46,makeup kit,3.0,0
U4738,P1422,2024-06-29 15:32:00,S4694,click,tablet,New York,193.84,15,Electronics,Apple,28,Male,90,26,53.43,smartphone,,0
U0855,P1230,2024-08-17 01:50:00,S0684,view,mobile,Houston,276.13,25,Apparel,Adidas,49,Female,53,19,248.94,wireless earphones,,0
U3475,P1692,2024-08-27 23:19:00,S3864,view,mobile,Los Angeles,173.72,10,Home,Sony,24,Female,41,48,190.06,running shoes,,0
U1708,P0121,2024-06-18 21:06:00,S1472,view,desktop,Houston,493.27,5,Home,LG,55,Male,8,34,198.3,running shoes,4.0,0
U2778,P0290,2024-05-09 23:21:00,S8226,add_to_cart,mobile,New York,90.93,20,Sports,Adidas,43,Male,43,13,25.14,smartphone,,0
U1734,P1459,2024-07-11 22:18:00,S7779,view,mobile,Los Angeles,490.4,15,Electronics,Nike,43,Male,8,10,261.18,makeup kit,4.0,0
U4932,P0089,2024-02-26 16:24:00,S7564,view,tablet,Chicago,121.2,20,Apparel,Sony,53,Male,36,17,104.53,smartphone,3.0,0
U3511,P1532,2024-10-31 21:20:00,S4878,click,desktop,Chicago,56.15,10,Beauty,Sony,51,Male,50,41,205.98,blender,2.0,0
U0203,P0434,2024-12-02 22:59:00,S0659,view,mobile,Miami,325.84,5,Sports,Sony,34,Female,18,15,121.04,blender,,0
U3256,P0545,2024-11-04 14:00:00,S9279,view,mobile,Los Angeles,283.28,0,Sports,Adidas,59,Male,35,27,261.84,laptop,,0
U4219,P1052,2024-09-11 03:47:00,S8287,click,mobile,Miami,435.39,20,Electronics,Puma,61,Female,12,22,88.97,basketball,2.0,0
U4497,P0864,2024-08-28 11:01:00,S4596,view,desktop,Houston,75.27,20,Home,Adidas,28,Male,35,46,155.95,sofa,4.0,0
U0767,P0251,2024-09-25 15:41:00,S4147,view,mobile,New York,70.88,20,Home,Nike,34,Male,93,17,291.33,basketball,,0
U4390,P0925,2024-05-20 07:18:00,S9185,view,tablet,Chicago,453.72,20,Home,Puma,24,Female,36,0,216.93,basketball,,0
U2328,P1467,2024-09-29 15:56:00,S5049,click,mobile,Chicago,45.47,20,Electronics,Adidas,29,Male,32,21,101.65,wireless earphones,,0
U2932,P1121,2024-10-18 21:56:00,S7278,purchase,desktop,Houston,90.76,5,Sports,Nike,53,Male,6,21,93.12,laptop,4.0,1
U0198,P0297,2024-10-14 12:32:00,S7761,view,desktop,Miami,355.71,5,Electronics,Adidas,39,Female,81,31,60.44,wireless earphones,,0
U1931,P0901,2024-01-29 01:50:00,S6102,click,desktop,Miami,296.67,10,Apparel,Puma,57,Other,33,18,175.71,smartphone,,0
U3583,P1767,2024-06-30 09:08:00,S3486,view,mobile,Chicago,100.8,25,Apparel,Sony,33,Male,10,12,35.34,blender,2.0,0
U0609,P0189,2024-02-23 02:55:00,S3415,click,mobile,Chicago,58.01,15,Apparel,Apple,25,Female,38,46,114.99,laptop,3.0,0
U3273,P1194,2024-01-26 08:01:00,S8494,click,desktop,Chicago,411.47,30,Sports,Apple,59,Female,91,25,61.78,blender,3.0,0
